Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
0.8645833333333333,0.06666666666666288,0,82.0,0.16335540838852097,0.0,0.6704888352444177,0.6759581330601314,0.548511530398323,0.2893049450804514,0.5828505214368481,0.0,0.9166666666666665,0.08024691358024691,0.875,0.0,0.4205974320997788,0.23153319107725084,0.039473684210526314,0.025974025974025972,0.9136690647482016,0.6999999999999998
0.5677083333333333,0.5999999999999943,1,68.5,0.37748344370860926,0.0,0.12371756185878097,0.0,0.75,0.0,0.7508690614136732,0.0,0.625,0.4910220042348852,0.8333333333333333,0.0,0.4205974320997788,0.40842258402318093,0.006578947368421052,0.006493506493506493,0.5410071942446044,0.44666666666666666
0.07291666666666666,0.8666666666666458,1,71.7,0.04856512141280354,0.0,0.8841279420639712,0.6759581330601314,0.9750000000000001,0.0066126844589817465,0.6964078794901507,0.014285714285714285,0.9791666666666665,0.5582010582010581,0.9791666666666665,0.0,0.4484630865772241,0.3031451156473033,0.125,0.12337662337662336,0.7812949640287771,0.7333333333333333
0.08333333333333333,0.2666666666666515,1,68.7,0.4326710816777042,0.0,0.3735666867833435,0.29820001743414976,0.9500000000000002,0.0,0.48899188876013916,0.0,0.958333333333333,0.3544973544973544,0.958333333333333,0.411764705882353,0.21530881222547502,0.0008856445111000512,0.23026315789473684,0.22077922077922074,0.6302158273381295,0.52
0.07291666666666666,0.7333333333333201,1,72.0,0.509933774834437,0.0,0.2771792870954745,0.7754494838552988,0.9750000000000001,0.02066463893431796,0.6825028968713789,0.014285714285714285,0.9791666666666665,0.4012345679012345,0.9791666666666665,0.0,0.3664342262878088,0.30337489324148675,0.125,0.12987012987012986,0.7683453237410073,0.7199999999999999
0.2708333333333333,0.13333333333332575,1,68.7,0.38852097130242824,0.55098087752955,0.008449004224502114,0.0,0.9500000000000002,0.26988018448219253,0.5886442641946698,0.6005105513955071,0.958333333333333,0.493827160493827,0.958333333333333,0.0,0.4205974320997788,0.40842258402318093,0.21710526315789472,0.21428571428571425,0.5237410071942447,0.43333333333333324
0.3177083333333333,0.5333333333333314,1,61.6,0.6556291390728477,0.03636363636363636,0.5274592637296319,0.01012147647243695,0.5750000000000002,0.0012398783360590775,0.36384704519119354,0.04285714285714286,0.625,0.191358024691358,0.6458333333333333,0.9659432186761703,0.010827303899992242,0.04920209210017586,0.44078947368421045,0.422077922077922,0.5726618705035972,0.5133333333333333
0.8489583333333333,0.5999999999999943,1,70.0,0.4304635761589404,0.0,0.3089921544960773,0.8103920122147898,0.7000000000000002,0.0,0.6152954808806489,0.0,0.7083333333333333,0.5088183421516753,0.75,0.29411764705882354,0.41838766894034934,0.001684021573538101,0.2236842105263158,0.21428571428571425,0.6374100719424461,0.4933333333333333
0.26041666666666663,0.39999999999997726,1,72.3,0.39072847682119205,0.12727272727272726,0.3735666867833435,0.3231730036949066,0.625,0.0,0.5596755504055619,0.11428571428571428,0.7708333333333333,0.3500881834215167,0.7916666666666665,1.0,0.21558600210046036,0.3001136846664239,0.2236842105263158,0.21428571428571425,0.6100719424460433,0.5266666666666666
0.28125,0.46666666666666856,1,55.0,0.7461368653421634,0.05454545454545454,0.41339770669885345,0.9380712527495036,0.548511530398323,0.0020664638934317957,0.022016222479721903,0.05714285714285714,0.0625,0.16578483245149908,0.6525850747973048,0.9659432186761703,0.8860124526476763,0.02655790249660802,0.618421052631579,0.6103896103896104,0.4805755395683453,0.2866666666666666
